Organisation,Website,Search Update,Search Update,Search Update,Search Update
PUBLIC SECTOR,,4/1/2024,,,
The Presidency,The Presidency | The Presidency (president.go.ke),NO UPDATES,,,
Kenya School of Government,https://ksg.ac.ke/,NO UPDATES,,,
Office of the Attorney General and Department of Justice,https://statelaw.go.ke/tenders/,NO UPDATES,,,
Ethics and Anti-Corruption Commission,https://eacc.go.ke/default/tenders/,,,,
Kenya Power (KPLC),https://www.kplc.co.ke/category/view/41/tenders,NO UPDATES,,,
National Council for Persons with Disabilities,https://ncpwd.go.ke/tender/,NO UPDATES,,,
The National Treasury,https://www.treasury.go.ke/tenders/,NO UPDATES,,,
KMA SACCO LTD,https://www.kmasacco.com/en/informationcentre/tenders, NO UPDATES,,,
Kenya institute of highways and building technology,https://www.kihbt.ac.ke,NO UPDATES,,,
Nairobi Centre  for  International Arbitration,https://ncia.or.ke/procurement/,NO UPDATES,,,
Parliament of Kenya,http://www.parliament.go.ke/tenders,NO UPDATES,,,
Kenya Accountants and Secretaries National Examinations Board (KASNEB),http://www.kasneb.or.ke,NO UPDATES,,,
Privatization Commission,https://www.pc.go.ke/opportunities/tenders/tenders,NO UPDATES,,,
Kenya National Bureau of Statistics,https://www.knbs.or.ke/?page_id=1657,NO UPDATES,,,
Kenya Investment Authority,http://www.invest.go.ke/category/tenders/,NO UPDATES,,,
Insurance Regulatory Authority,https://www.ira.go.ke/index.php/tender,NO UPDATES,,,
Public Procurement Oversight Authority,http://ppra.go.ke/category/tenders/,NO UPDATES,,,
THE JUDICIARY,https://www.judiciary.go.ke/resources/tenders/,NO UPDATES,,,
Capital Market Authority,https://cma.or.ke/index.php/tenders,NO UPDATES,,,
State Corporations Advisory Committee,https://www.scac.go.ke/2015-02-16-09-56-36/tenders,NO UPDATES,,,
Retirements Benefit Authority,https://www.rba.go.ke/tenders/,,,,
Communications Authority of Kenya,https://www.ca.go.ke/about-us/do-business-with-us/open-tenders/,,,,
Kenya Reinsurance Corporation,https://www.kenyare.co.ke/procurement/tenders,,,,
Kenya Revenue Authority,https://www.kra.go.ke/tenders,,,,
KenGen,https://tenders.kengen.co.ke/index.php?art=tenders&cat=Mg==,,,,
Nairobi City Water and Sewerage Company Ltd,https://www.nairobiwater.co.ke/tenders/,,,,
Kenya Trade Network Agency,https://www.kentrade.go.ke/tenders,,,,
Competition Authority of Kenya,https://cak.go.ke/opportunities/tenders/tenders,,,,
Ministry of Foreign Affairs and International Trade,https://mfa.go.ke/tenders/,,,,
Ministry of Defence,http://www.mod.go.ke,,,,
Ministry of Health,http://www.health.go.ke/,,,,
"Ministry of Education, Science and Technology",http://www.education.go.ke,,,,
Ministry of Transport and Infrastructure Development,http://www.transport.go.ke,,,,
State Department For Infrastructure,https://transport.go.ke/department/index.php?option=com_content&view=category&layout=blog&id=27&Itemid=160,,,,
State Department For Housing And Urban Development,https://housingandurban.go.ke/tenders/,,,,
State Department For Maritime And Shipping Affairs,https://www.transport.go.ke/,,,,
State Department For Public Works,https://www.transport.go.ke/,,,,
Ministry of Devolution and Arid and Semi-Arid Lands (ASALs),http://www.devolutionasals.go.ke,,,,
Ministry of Lands,http://lands.go.ke,,,,
Ministry of Environment and Forestry,http://www.environment.go.ke,,,,
Ministry of Mining and Petroleum,www.petroleumandmining.go.ke ,,,,
Ministry of Agriculture Livestock and Fisheries,www.kilimo.go.ke ,,,,
The Council of Governors,https://www.cog.go.ke/procurement,,,,
Ministry of East African Community and Northern Corridor Development,http://meac.go.ke ,,,,
Ministry of Industrialization,Ministry of Industrialization,,,,
National Industrial Training Authority,https://www.nita.go.ke/,,,,
Labour and Social Protection,http://labour.go.ke,,,,
Ministry of Tourism and Wildlife,www.tourism.go.ke,,,,
Ministry of Water and Sanitation,http://www.water.go.ke ,,,,
Federation of Kenya Employers,Federation of Kenya Employers,,,,
National Employment Authority,National Employment Authority,,,,
Ministry of Energy,http://energy.go.ke,,,,
"Ministry of Information, Communication and Technology",ict.go.ke,,,,
Ministry of Sports and Heritage,www.sportsheritage.go.ke,,,,
Ministry of Interior and Coordination of National Government,http://www.interior.go.ke,,,,
National Oil Corporation Of Kenya,https://nationaloil.co.ke/,,,,
